,comments,preprocessed comments,sentiment
884,girl screams me guess she didnt like the corn bread either,girl screams guess didnt like corn bread either,neutral
885,my favorite part is when he looks at the camera and says im starting to romulate,favorite part looks camera says im starting romulate,positive
886,smn in the woah,smn woah,neutral
887,that s kinda hot alien flushed face,kinda hot alien flushed face,neutral
888,whoever did the cinematography color grading deserves a raise every shot looks like a painting,whoever cinematography color grading deserves raise every shot looks like painting,neutral
889,wtf was so woke,wtf woke,negative
890,as a person with tinnitus from concussions i actually love when they use a nice heavy tinnitus ear ringing in trailers lol grinning squinting face,person tinnitus concussions actually love use nice heavy tinnitus ear ringing trailers lol grinning squinting face,positive
891,so what about the engineers,engineers,neutral
892,i hope this is good so we may get more like this miss these types of movies and this particular franchise,hope good may get like miss types movies particular franchise,positive
893,i couldve sworn ridley scott said the next movie was supposed to be the engineers hunt down david which leads to the war between engineers vs xenomorphs vs humans what happened this year got without doubts saved by awtx,couldve sworn ridley scott said next movie supposed engineers hunt david leads war engineers vs xenomorphs vs humans happened year got without doubts saved awtx,negative
